time,v_c(0),v_c(10),v_c(20),v_c(50),v_c(100),v_c(200),G_i(0),G_i(10),G_i(20),G_i(50),G_i(100),G_i(200),J_w(0),J_w(10),J_w(20),J_w(50),J_w(100),J_w(200),v_c(0)-A,v_c(10)-A,v_c(20)-A,v_c(50)-A,v_c(100)-A,v_c(200)-A,G_i(0)-A,G_i(10)-A,G_i(20)-A,G_i(50)-A,G_i(100)-A,G_i(200)-A,J_w(0)-A,J_w(10)-A,J_w(20)-A,J_w(50)-A,J_w(100)-A,J_w(200)-A,OS_C(0),OS_C(10),OS_C(20),OS_C(50),OS_C(100),OS_C(200),OS_C-A(0),OS_C-A(10),OS_C-A(20),OS_C-A(50),OS_C-A(100),OS_C-A(200),v_c(5),G_i(5),J_w(5),OS_C(5),v_c(5)-A,G_i(5)-A,J_w(5)-A,OS_C-A(5),v_c(80),G_i(80),J_w(80),v_c(80)-A,G_i(80)-A,J_w(80)-A,Na_i(20),Cl_i(20),Na_i(50),Cl_i(50),Na_i(80),Cl_i(80),Na_i(100),Cl_i(100),Na_i(20)-A,Cl_i(20)-A,Na_i(50)-A,Cl_i(50)-A,Na_i(80)-A,Cl_i(80)-A,Na_i(100)-A,Cl_i(100)-A
0,2.00E-15,2.00E-15,2.00E-15,2.00E-15,2.00E-15,2.00E-15,9,9,9,9,9,9,-8.09E-06,7.43E-07,4.12E-07,7.48E-07,1.31E-06,3.47E-06,2.00E-15,2.00E-15,2.00E-15,2.00E-15,2.00E-15,2.00E-15,9,9,9,9,9,9,-8.09E-06,7.43E-07,4.12E-07,7.48E-07,1.31E-06,3.47E-06,299,299,299,299,299,299,299,299,299,299,299,299,2.00E-15,9,6.85E-07,299,2.00E-15,9,6.85E-07,299,2.00E-15,9,1.08E-06,2.00E-15,9,1.08E-06,40,65,40,65,40,65,40,65,40,65,40,65,40,65,40,65
100,2.42E-15,1.90E-15,1.89E-15,1.78E-15,1.59E-15,1.52E-15,5.09171,9.69375,15.3355,21.7074,26.212,15.063,-3.92E-06,4.75E-07,4.62E-08,1.32E-07,2.60E-07,2.06E-06,2.43E-15,1.90E-15,1.86E-15,1.73E-15,1.54E-15,1.51E-15,7.24707,9.59532,10.796,11.9073,13.2468,12.1071,-3.99E-06,4.76E-07,4.62E-08,1.32E-07,2.60E-07,2.09E-06,311.396,317.77,322.143,333.631,353.184,397.824,313.642,317.695,321.338,332.093,351.305,395.751,1.90E-15,8.64279,4.53E-07,315.286,1.90E-15,9.47729,4.43E-07,315.953,1.66E-15,24.7313,2.12E-07,1.61E-15,12.7361,2.12E-07,48.0496,73.1211,47.8052,75.3199,47.5061,77.9548,47.2735,79.7966,48.4557,73.9194,48.6773,77.0509,48.5555,80.1023,48.3945,82.1395
200,2.44E-15,1.83E-15,1.92E-15,1.81E-15,1.60E-15,1.28E-15,2.99357,10.1035,16.8099,25.9518,32.4128,20.1457,-3.58E-06,3.02E-07,5.31E-08,1.37E-07,2.56E-07,1.04E-06,2.48E-15,1.83E-15,1.89E-15,1.73E-15,1.52E-15,1.27E-15,7.00064,9.99475,11.3983,12.8224,14.2989,14.493,-3.66E-06,3.03E-07,5.31E-08,1.37E-07,2.56E-07,1.07E-06,319.608,329.851,337.031,356.371,390.232,469.196,323.101,329.8,335.965,354.351,387.889,467.031,1.84E-15,8.16253,3.01E-07,325.899,1.84E-15,9.77551,2.87E-07,326.912,1.68E-15,30.3213,2.12E-07,1.60E-15,13.7567,2.12E-07,49.9598,73.7026,47.7098,74.6895,45.1416,76.2775,43.3613,77.4731,50.1416,74.5892,48.1584,76.8643,45.6238,79.0566,43.8288,80.541
300,2.43E-15,1.80E-15,1.95E-15,1.83E-15,1.61E-15,1.19E-15,1.48025,10.3212,17.4345,28.3865,36.1951,23.5321,-3.55E-06,1.98E-07,5.84E-08,1.41E-07,2.57E-07,5.84E-07,2.48E-15,1.80E-15,1.90E-15,1.74E-15,1.51E-15,1.18E-15,6.87416,10.2503,11.8422,13.4574,14.9389,15.7011,-3.62E-06,1.98E-07,5.84E-08,1.41E-07,2.57E-07,6.08E-07,325.271,337.114,345.844,369.486,410.495,501.114,328.906,337.115,344.784,367.495,408.34,499.451,1.80E-15,7.65956,2.08E-07,332.455,1.81E-15,9.94565,1.92E-07,333.579,1.70E-15,33.6966,2.14E-07,1.59E-15,14.4157,2.14E-07,51.4893,74.1446,48.1601,74.539,44.2895,75.6276,41.6764,76.5562,51.3466,74.9476,47.8722,76.7652,43.8336,78.5836,41.1215,79.8791
400,2.42E-15,1.78E-15,1.96E-15,1.85E-15,1.63E-15,1.16E-15,0.839518,10.423,17.7411,29.9588,38.7426,25.8338,-3.57E-06,1.39E-07,6.17E-08,1.45E-07,2.59E-07,4.33E-07,2.48E-15,1.78E-15,1.91E-15,1.74E-15,1.51E-15,1.14E-15,6.76653,10.4121,12.1815,13.9163,15.335,16.2375,-3.61E-06,1.38E-07,6.17E-08,1.45E-07,2.59E-07,4.53E-07,329.834,341.298,350.781,376.426,420.051,511.682,332.352,341.345,349.821,374.617,418.186,510.306,1.78E-15,7.20046,1.52E-07,336.387,1.79E-15,10.0337,1.36E-07,337.477,1.72E-15,35.9621,2.17E-07,1.59E-15,14.8547,2.17E-07,52.6537,74.4297,48.7643,74.5499,44.172,75.4318,41.1467,76.2865,52.227,75.1373,47.7526,76.7431,42.8381,78.4724,39.6891,79.777
500,2.41E-15,1.77E-15,1.97E-15,1.87E-15,1.65E-15,1.14E-15,0.735058,10.4604,17.9061,31.0436,40.5789,27.6507,-3.58E-06,1.05E-07,6.39E-08,1.48E-07,2.62E-07,3.89E-07,2.48E-15,1.77E-15,1.92E-15,1.74E-15,1.51E-15,1.12E-15,6.66624,10.5171,12.4447,14.2558,15.5903,16.5284,-3.61E-06,1.04E-07,6.39E-08,1.48E-07,2.62E-07,4.06E-07,332.941,343.649,353.454,379.915,424.216,514.791,334.363,343.727,352.608,378.295,422.571,513.556,1.77E-15,6.81766,1.18E-07,338.723,1.78E-15,10.0728,1.04E-07,339.704,1.73E-15,37.5856,2.20E-07,1.59E-15,15.1565,2.20E-07,53.5115,74.5859,49.363,74.5977,44.3823,75.4165,41.1596,76.2768,52.8654,75.2196,47.727,76.756,42.3282,78.5381,39.0019,79.9301
600,2.41E-15,1.77E-15,1.97E-15,1.88E-15,1.66E-15,1.13E-15,0.725176,10.4646,18.0008,31.8251,41.9731,29.2453,-3.58E-06,8.64E-08,6.53E-08,1.50E-07,2.65E-07,3.75E-07,2.48E-15,1.77E-15,1.92E-15,1.75E-15,1.51E-15,1.10E-15,6.57178,10.5888,12.6502,14.5118,15.7653,16.74,-3.61E-06,8.50E-08,6.53E-08,1.50E-07,2.65E-07,3.92E-07,334.76,344.951,354.868,381.618,425.969,515.708,335.53,345.05,354.123,380.15,424.472,514.558,1.76E-15,6.51857,9.82E-08,340.12,1.78E-15,10.084,8.62E-08,340.963,1.75E-15,38.8059,2.23E-07,1.60E-15,15.372,2.23E-07,54.1273,74.6506,49.8965,74.6392,44.7177,75.4595,41.4011,76.3511,53.3225,75.2353,47.7505,76.7813,42.0969,78.6732,38.7131,80.1685
700,2.41E-15,1.76E-15,1.97E-15,1.89E-15,1.67E-15,1.12E-15,0.724313,10.4533,18.0574,32.4046,43.0732,30.7121,-3.58E-06,7.62E-08,6.61E-08,1.52E-07,2.68E-07,3.71E-07,2.47E-15,1.76E-15,1.92E-15,1.75E-15,1.52E-15,1.09E-15,6.4828,10.6411,12.8109,14.7077,15.8933,16.9233,-3.61E-06,7.46E-08,6.61E-08,1.52E-07,2.68E-07,3.86E-07,335.807,345.667,355.601,382.433,426.702,516.023,336.208,345.775,354.941,381.083,425.31,514.938,1.75E-15,6.29561,8.62E-08,340.965,1.77E-15,10.0796,7.62E-08,341.667,1.76E-15,39.7554,2.25E-07,1.60E-15,15.5318,2.25E-07,54.5576,74.6558,50.3471,74.6619,45.0798,75.5091,41.7194,76.435,53.6446,75.2119,47.7966,76.8075,42.0166,78.8219,38.6235,80.4107
800,2.40E-15,1.76E-15,1.97E-15,1.89E-15,1.68E-15,1.11E-15,0.724225,10.4357,18.0918,32.8427,43.9648,32.0864,-3.58E-06,7.06E-08,6.66E-08,1.53E-07,2.70E-07,3.69E-07,2.47E-15,1.76E-15,1.93E-15,1.75E-15,1.52E-15,1.08E-15,6.39909,10.6821,12.9365,14.8593,15.9923,17.0928,-3.61E-06,6.90E-08,6.66E-08,1.53E-07,2.70E-07,3.83E-07,336.412,346.058,355.974,382.817,427.017,516.183,336.609,346.169,355.381,381.559,425.704,515.152,1.75E-15,6.13518,7.87E-08,341.486,1.77E-15,10.0669,7.05E-08,342.061,1.77E-15,40.5126,2.27E-07,1.61E-15,15.6543,2.27E-07,54.849,74.6252,50.7153,74.6654,45.4233,75.5458,42.0434,76.5011,53.8668,75.1678,47.8497,76.8296,42.013,78.9582,38.6262,80.6235
900,2.40E-15,1.76E-15,1.97E-15,1.90E-15,1.69E-15,1.10E-15,0.72422,10.4169,18.1127,33.1779,44.7008,33.3844,-3.59E-06,6.75E-08,6.69E-08,1.54E-07,2.72E-07,3.67E-07,2.47E-15,1.76E-15,1.93E-15,1.75E-15,1.53E-15,1.06E-15,6.32044,10.7165,13.0343,14.9776,16.0718,17.2524,-3.61E-06,6.60E-08,6.69E-08,1.54E-07,2.72E-07,3.81E-07,336.769,346.272,356.157,382.995,427.165,516.306,336.853,346.381,355.621,381.81,425.915,515.32,1.75E-15,6.0227,7.41E-08,341.814,1.77E-15,10.0501,6.74E-08,342.282,1.77E-15,41.1266,2.28E-07,1.61E-15,15.7506,2.28E-07,55.0382,74.5757,51.0091,74.6537,45.7295,75.5651,42.3427,76.5426,54.0162,75.1148,47.9016,76.846,42.0444,79.0724,38.6666,80.7973
1000,2.40E-15,1.76E-15,1.97E-15,1.90E-15,1.70E-15,1.09E-15,0.724208,10.3989,18.1251,33.4361,45.3155,34.6151,-3.59E-06,6.59E-08,6.70E-08,1.54E-07,2.73E-07,3.65E-07,2.47E-15,1.76E-15,1.93E-15,1.75E-15,1.53E-15,1.05E-15,6.24664,10.7467,13.1101,15.0706,16.1369,17.4031,-3.61E-06,6.44E-08,6.70E-08,1.54E-07,2.73E-07,3.79E-07,336.985,346.388,356.242,383.076,427.248,516.422,337.009,346.492,355.752,381.952,426.051,515.475,1.75E-15,5.94525,7.10E-08,342.025,1.77E-15,10.0313,6.56E-08,342.406,1.78E-15,41.6303,2.29E-07,1.61E-15,15.8277,2.29E-07,55.1546,74.5188,51.2391,74.6315,45.9929,75.5683,42.6061,76.5617,54.1134,75.0605,47.9481,76.8568,42.0881,79.1629,38.7179,80.9334
1100,2.40E-15,1.76E-15,1.97E-15,1.90E-15,1.70E-15,1.08E-15,0.724211,10.3827,18.1321,33.6358,45.8329,35.7847,-3.59E-06,6.50E-08,6.70E-08,1.55E-07,2.75E-07,3.64E-07,2.47E-15,1.77E-15,1.92E-15,1.76E-15,1.53E-15,1.04E-15,6.17749,10.7741,13.1684,15.1439,16.191,17.5451,-3.61E-06,6.36E-08,6.70E-08,1.55E-07,2.75E-07,3.77E-07,337.123,346.451,356.277,383.112,427.306,516.537,337.113,346.549,355.826,382.04,426.154,515.625,1.75E-15,5.89261,6.91E-08,342.162,1.77E-15,10.0117,6.46E-08,342.476,1.78E-15,42.0465,2.30E-07,1.61E-15,15.8901,2.30E-07,55.2204,74.4619,51.4164,74.6031,46.2147,75.559,42.8321,76.5628,54.1738,75.0093,47.9878,76.8629,42.133,79.232,38.7679,81.037
1200,2.39E-15,1.77E-15,1.97E-15,1.90E-15,1.71E-15,1.07E-15,0.7242,10.3687,18.1356,33.7904,46.2705,36.8984,-3.59E-06,6.45E-08,6.69E-08,1.55E-07,2.76E-07,3.62E-07,2.47E-15,1.77E-15,1.92E-15,1.76E-15,1.53E-15,1.03E-15,6.11276,10.7997,13.2131,15.2018,16.236,17.6786,-3.61E-06,6.32E-08,6.69E-08,1.55E-07,2.76E-07,3.75E-07,337.216,346.484,356.286,383.129,427.355,516.654,337.189,346.577,355.87,382.101,426.243,515.772,1.75E-15,5.85711,6.78E-08,342.254,1.77E-15,9.99216,6.40E-08,342.517,1.79E-15,42.3918,2.31E-07,1.61E-15,15.9409,2.31E-07,55.2518,74.4092,51.551,74.5719,46.3988,75.5409,43.0229,76.5509,54.209,74.9634,48.0204,76.8653,42.1738,79.2833,38.8117,81.1144
1300,2.39E-15,1.77E-15,1.97E-15,1.90E-15,1.71E-15,1.06E-15,0.724195,10.3569,18.1369,33.91,46.6414,37.96,-3.59E-06,6.43E-08,6.69E-08,1.55E-07,2.77E-07,3.60E-07,2.47E-15,1.77E-15,1.92E-15,1.76E-15,1.53E-15,1.02E-15,6.05226,10.8238,13.247,15.2478,16.2734,17.8036,-3.61E-06,6.30E-08,6.69E-08,1.55E-07,2.77E-07,3.72E-07,337.282,346.5,356.283,383.138,427.402,516.771,337.249,346.589,355.897,382.149,426.325,515.915,1.75E-15,5.83329,6.69E-08,342.316,1.77E-15,9.97293,6.37E-08,342.542,1.79E-15,42.679,2.32E-07,1.61E-15,15.9823,2.32E-07,55.261,74.3628,51.6517,74.5405,46.5501,75.5175,43.1826,76.5305,54.2273,74.924,48.0463,76.865,42.2084,79.3203,38.848,81.1712
1400,2.39E-15,1.77E-15,1.97E-15,1.91E-15,1.71E-15,1.05E-15,0.724193,10.3469,18.1368,34.0021,46.9564,38.9729,-3.59E-06,6.42E-08,6.68E-08,1.56E-07,2.77E-07,3.59E-07,2.47E-15,1.77E-15,1.92E-15,1.76E-15,1.54E-15,1.01E-15,5.99578,10.8466,13.2726,15.2842,16.3044,17.9202,-3.61E-06,6.30E-08,6.68E-08,1.56E-07,2.77E-07,3.70E-07,337.334,346.507,356.275,383.143,427.449,516.886,337.299,346.592,355.914,382.189,426.402,516.056,1.75E-15,5.81735,6.63E-08,342.358,1.77E-15,9.95421,6.34E-08,342.557,1.79E-15,42.9181,2.32E-07,1.62E-15,16.0161,2.32E-07,55.2567,74.3236,51.726,74.5106,46.6736,75.4913,43.3155,76.5052,54.2348,74.891,48.0667,76.863,42.2365,79.3465,38.877,81.2125
1500,2.39E-15,1.77E-15,1.97E-15,1.91E-15,1.71E-15,1.05E-15,0.724191,10.3386,18.136,34.0729,47.2239,39.94,-3.59E-06,6.41E-08,6.67E-08,1.56E-07,2.78E-07,3.57E-07,2.46E-15,1.77E-15,1.92E-15,1.76E-15,1.54E-15,9.95E-16,5.9431,10.8685,13.2918,15.313,16.33,18.0285,-3.61E-06,6.30E-08,6.67E-08,1.56E-07,2.78E-07,3.69E-07,337.376,346.509,356.267,383.148,427.495,517.001,337.344,346.59,355.927,382.225,426.476,516.193,1.74E-15,5.80671,6.59E-08,342.388,1.77E-15,9.93609,6.33E-08,342.566,1.79E-15,43.1172,2.33E-07,1.62E-15,16.0436,2.33E-07,55.2451,74.2915,51.7801,74.4833,46.7739,75.4645,43.4257,76.4775,54.2356,74.864,48.0824,76.86,42.2589,79.3645,38.8996,81.2421
1600,2.38E-15,1.77E-15,1.97E-15,1.91E-15,1.72E-15,1.04E-15,0.724189,10.3317,18.1349,34.1269,47.4512,40.8639,-3.59E-06,6.41E-08,6.66E-08,1.56E-07,2.78E-07,3.55E-07,2.46E-15,1.77E-15,1.92E-15,1.76E-15,1.54E-15,9.85E-16,5.89403,10.8894,13.3061,15.3358,16.351,18.1285,-3.61E-06,6.30E-08,6.66E-08,1.56E-07,2.78E-07,3.67E-07,337.412,346.508,356.257,383.153,427.54,517.112,337.384,346.585,355.937,382.259,426.547,516.326,1.74E-15,5.79961,6.56E-08,342.409,1.77E-15,9.91862,6.32E-08,342.573,1.79E-15,43.283,2.33E-07,1.62E-15,16.066,2.33E-07,55.2301,74.2659,51.8188,74.459,46.8552,75.4383,43.5171,76.4493,54.2326,74.8425,48.0942,76.8565,42.2762,79.3766,38.9171,81.2631
1700,2.38E-15,1.77E-15,1.97E-15,1.91E-15,1.72E-15,1.03E-15,0.724186,10.3261,18.1337,34.1679,47.6442,41.7469,-3.59E-06,6.42E-08,6.65E-08,1.56E-07,2.78E-07,3.54E-07,2.46E-15,1.77E-15,1.92E-15,1.76E-15,1.54E-15,9.76E-16,5.84837,10.9095,13.3166,15.3539,16.3682,18.2206,-3.61E-06,6.31E-08,6.65E-08,1.56E-07,2.78E-07,3.65E-07,337.444,346.506,356.247,383.159,427.585,517.221,337.422,346.58,355.946,382.29,426.616,516.455,1.74E-15,5.79485,6.53E-08,342.425,1.77E-15,9.9018,6.32E-08,342.578,1.79E-15,43.4209,2.33E-07,1.62E-15,16.0841,2.33E-07,55.2142,74.2459,51.846,74.4379,46.9208,75.4138,43.5927,76.422,54.2278,74.8257,48.103,76.8529,42.2894,79.3845,38.9305,81.2779
1800,2.38E-15,1.77E-15,1.97E-15,1.91E-15,1.72E-15,1.02E-15,0.724183,10.3215,18.1324,34.1988,47.808,42.591,-3.59E-06,6.42E-08,6.65E-08,1.56E-07,2.79E-07,3.52E-07,2.46E-15,1.78E-15,1.92E-15,1.76E-15,1.54E-15,9.67E-16,5.80592,10.9288,13.3243,15.3681,16.3821,18.3048,-3.61E-06,6.32E-08,6.65E-08,1.56E-07,2.79E-07,3.63E-07,337.473,346.502,356.238,383.165,427.628,517.328,337.457,346.573,355.953,382.32,426.682,516.581,1.74E-15,5.79165,6.52E-08,342.437,1.77E-15,9.88564,6.31E-08,342.581,1.80E-15,43.5356,2.33E-07,1.62E-15,16.0987,2.33E-07,55.1991,74.2308,51.8647,74.4201,46.9738,75.3914,43.6554,76.3963,54.2224,74.8127,48.1095,76.8494,42.2994,79.3895,38.9406,81.2882
1900,2.38E-15,1.77E-15,1.97E-15,1.91E-15,1.72E-15,1.02E-15,0.72418,10.3177,18.1313,34.222,47.947,43.3981,-3.59E-06,6.43E-08,6.64E-08,1.56E-07,2.79E-07,3.51E-07,2.46E-15,1.78E-15,1.92E-15,1.76E-15,1.54E-15,9.58E-16,5.7665,10.9473,13.33,15.3793,16.3934,18.3814,-3.61E-06,6.33E-08,6.64E-08,1.56E-07,2.79E-07,3.61E-07,337.499,346.498,356.23,383.171,427.671,517.431,337.491,346.567,355.96,382.348,426.746,516.702,1.74E-15,5.78948,6.50E-08,342.446,1.77E-15,9.87012,6.31E-08,342.584,1.80E-15,43.6307,2.33E-07,1.62E-15,16.1104,2.33E-07,55.1856,74.2195,51.8773,74.4051,47.0166,75.3712,43.7074,76.3727,54.217,74.8028,48.1142,76.8461,42.3068,79.3924,38.9482,81.2952
2000,2.38E-15,1.77E-15,1.96E-15,1.91E-15,1.72E-15,1.01E-15,0.724178,10.3145,18.1304,34.2393,48.0649,44.1699,-3.59E-06,6.43E-08,6.64E-08,1.56E-07,2.79E-07,3.49E-07,2.46E-15,1.78E-15,1.92E-15,1.76E-15,1.54E-15,9.50E-16,5.72991,10.9651,13.334,15.3882,16.4025,18.4505,-3.61E-06,6.34E-08,6.64E-08,1.56E-07,2.79E-07,3.60E-07,337.524,346.494,356.223,383.177,427.712,517.53,337.523,346.561,355.966,382.375,426.807,516.821,1.74E-15,5.78801,6.49E-08,342.453,1.77E-15,9.85522,6.30E-08,342.586,1.80E-15,43.7095,2.34E-07,1.62E-15,16.1198,2.34E-07,55.1741,74.2113,51.8855,74.3928,47.0509,75.3535,43.7505,76.3514,54.2119,74.7954,48.1175,76.8432,42.3123,79.3939,38.9538,81.3
2100,2.37E-15,1.78E-15,1.96E-15,1.91E-15,1.72E-15,1.00E-15,0.724176,10.312,18.1296,34.252,48.1647,44.9081,-3.59E-06,6.44E-08,6.64E-08,1.56E-07,2.79E-07,3.48E-07,2.46E-15,1.78E-15,1.92E-15,1.76E-15,1.54E-15,9.42E-16,5.69599,10.9823,13.3369,15.3951,16.4098,18.5123,-3.61E-06,6.35E-08,6.64E-08,1.56E-07,2.79E-07,3.58E-07,337.546,346.489,356.217,383.184,427.752,517.626,337.553,346.554,355.972,382.401,426.866,516.935,1.74E-15,5.78699,6.48E-08,342.459,1.77E-15,9.84093,6.30E-08,342.589,1.80E-15,43.7747,2.34E-07,1.62E-15,16.1273,2.34E-07,55.1645,74.2055,51.8907,74.3828,47.0786,75.338,43.7863,76.3323,54.2074,74.79,48.12,76.8407,42.3164,79.3946,38.958,81.3032
2200,2.37E-15,1.78E-15,1.96E-15,1.91E-15,1.72E-15,9.99E-16,0.724174,10.31,18.1289,34.2614,48.2493,45.614,-3.59E-06,6.45E-08,6.64E-08,1.56E-07,2.79E-07,3.47E-07,2.46E-15,1.78E-15,1.92E-15,1.76E-15,1.54E-15,9.34E-16,5.66456,10.9988,13.3389,15.4005,16.4156,18.5672,-3.61E-06,6.36E-08,6.64E-08,1.56E-07,2.79E-07,3.56E-07,337.567,346.484,356.212,383.19,427.791,517.719,337.581,346.548,355.977,382.426,426.922,517.046,1.74E-15,5.78627,6.48E-08,342.464,1.77E-15,9.82722,6.30E-08,342.59,1.80E-15,43.8286,2.34E-07,1.62E-15,16.1333,2.34E-07,55.1567,74.2015,51.8937,74.3747,47.101,75.3246,43.816,76.3155,54.2037,74.7861,48.1217,76.8385,42.3193,79.3948,38.9611,81.3052
2300,2.37E-15,1.78E-15,1.96E-15,1.91E-15,1.72E-15,9.93E-16,0.724173,10.3083,18.1284,34.2681,48.3208,46.2892,-3.59E-06,6.45E-08,6.63E-08,1.56E-07,2.79E-07,3.45E-07,2.45E-15,1.78E-15,1.92E-15,1.76E-15,1.54E-15,9.27E-16,5.63546,11.0146,13.3403,15.4048,16.4202,18.6153,-3.61E-06,6.37E-08,6.63E-08,1.56E-07,2.79E-07,3.55E-07,337.587,346.48,356.207,383.197,427.828,517.807,337.607,346.542,355.982,382.45,426.977,517.153,1.74E-15,5.78575,6.47E-08,342.468,1.77E-15,9.81408,6.29E-08,342.592,1.80E-15,43.8731,2.34E-07,1.62E-15,16.138,2.34E-07,55.1507,74.1989,51.8952,74.3683,47.1192,75.3131,43.841,76.3007,54.2007,74.7833,48.1229,76.8367,42.3214,79.3946,38.9634,81.3066
