time,v_c(0),v_c(10),v_c(20),v_c(50),v_c(100),v_c(200),G_i(0),G_i(10),G_i(20),G_i(50),G_i(100),G_i(200),J_w(0),J_w(10),J_w(20),J_w(50),J_w(100),J_w(200),v_c(0)-A,v_c(10)-A,v_c(20)-A,v_c(50)-A,v_c(100)-A,v_c(200)-A,G_i(0)-A,G_i(10)-A,G_i(20)-A,G_i(50)-A,G_i(100)-A,G_i(200)-A,J_w(0)-A,J_w(10)-A,J_w(20)-A,J_w(50)-A,J_w(100)-A,J_w(200)-A,OS_C(0),OS_C(10),OS_C(20),OS_C(50),OS_C(100),OS_C(200),OS_C-A(0),OS_C-A(10),OS_C-A(20),OS_C-A(50),OS_C-A(100),OS_C-A(200),v_c(5),G_i(5),J_w(5),OS_C(5),v_c(5)-A,G_i(5)-A,J_w(5)-A,OS_C-A(5),v_c(80),G_i(80),J_w(80),v_c(80)-A,G_i(80)-A,J_w(80)-A,Na_i(20),Cl_i(20),Na_i(50),Cl_i(50),Na_i(80),Cl_i(80),Na_i(100),Cl_i(100),Na_i(20)-A,Cl_i(20)-A,Na_i(50)-A,Cl_i(50)-A,Na_i(80)-A,Cl_i(80)-A,Na_i(100)-A,Cl_i(100)-A
7500,2.31E-15,1.82E-15,1.96E-15,1.90E-15,1.72E-15,8.87E-16,0.724145,10.3034,18.1271,34.2827,48.711,59.1215,-3.59E-06,6.70E-08,6.63E-08,1.56E-07,2.80E-07,3.21E-07,2.42E-15,1.83E-15,1.92E-15,1.76E-15,1.54E-15,7.80E-16,5.29281,11.3736,13.3435,15.4197,16.4374,17.3252,-3.61E-06,6.65E-08,6.63E-08,1.56E-07,2.80E-07,3.21E-07,337.858,346.311,356.135,383.315,428.608,519.555,337.923,346.345,356.065,383.037,428.364,519.512,1.75E-15,5.78234,6.43E-08,342.496,1.79E-15,9.54987,6.34E-08,342.562,1.80E-15,44.0799,2.34E-07,1.62E-15,16.1553,2.34E-07,55.1354,74.1968,51.8908,74.3477,47.1977,75.2539,43.9706,76.2117,54.1919,74.7777,48.1255,76.8291,42.3268,79.3907,38.9696,81.3071
7600,2.31E-15,1.82E-15,1.96E-15,1.90E-15,1.72E-15,8.86E-16,0.724145,10.3035,18.1271,34.2827,48.711,59.1695,-3.59E-06,6.70E-08,6.63E-08,1.56E-07,2.80E-07,3.20E-07,2.42E-15,1.83E-15,1.92E-15,1.76E-15,1.54E-15,7.80E-16,5.29233,11.376,13.3435,15.4197,16.4374,17.2961,-3.61E-06,6.65E-08,6.63E-08,1.56E-07,2.80E-07,3.21E-07,337.859,346.309,356.134,383.316,428.614,519.562,337.923,346.342,356.065,383.043,428.376,519.522,1.75E-15,5.78232,6.43E-08,342.495,1.79E-15,9.54861,6.34E-08,342.561,1.80E-15,44.0799,2.34E-07,1.62E-15,16.1553,2.34E-07,55.1354,74.1968,51.8908,74.3477,47.1977,75.2539,43.9706,76.2117,54.1919,74.7777,48.1255,76.8291,42.3268,79.3907,38.9696,81.3071
7700,2.31E-15,1.82E-15,1.96E-15,1.90E-15,1.72E-15,8.86E-16,0.724145,10.3035,18.1271,34.2827,48.711,59.2149,-3.59E-06,6.70E-08,6.63E-08,1.56E-07,2.80E-07,3.20E-07,2.42E-15,1.83E-15,1.92E-15,1.76E-15,1.54E-15,7.79E-16,5.29188,11.3782,13.3435,15.4197,16.4374,17.2679,-3.61E-06,6.65E-08,6.63E-08,1.56E-07,2.80E-07,3.21E-07,337.86,346.307,356.134,383.316,428.619,519.57,337.923,346.34,356.066,383.048,428.388,519.532,1.75E-15,5.78231,6.43E-08,342.495,1.79E-15,9.54741,6.34E-08,342.56,1.80E-15,44.0799,2.34E-07,1.62E-15,16.1553,2.34E-07,55.1354,74.1968,51.8908,74.3477,47.1977,75.2539,43.9706,76.2117,54.1919,74.7777,48.1255,76.8291,42.3268,79.3907,38.9696,81.3071
7800,2.31E-15,1.82E-15,1.96E-15,1.90E-15,1.72E-15,8.85E-16,0.724145,10.3035,18.1271,34.2827,48.711,59.2578,-3.59E-06,6.71E-08,6.63E-08,1.56E-07,2.80E-07,3.20E-07,2.42E-15,1.83E-15,1.92E-15,1.76E-15,1.54E-15,7.79E-16,5.29145,11.3805,13.3435,15.4197,16.4374,17.2405,-3.61E-06,6.66E-08,6.63E-08,1.56E-07,2.80E-07,3.21E-07,337.861,346.305,356.133,383.317,428.624,519.577,337.923,346.338,356.066,383.054,428.399,519.541,1.75E-15,5.78229,6.43E-08,342.495,1.79E-15,9.54627,6.34E-08,342.558,1.80E-15,44.0799,2.34E-07,1.62E-15,16.1553,2.34E-07,55.1354,74.1968,51.8908,74.3477,47.1977,75.2539,43.9706,76.2117,54.192,74.7777,48.1255,76.8291,42.3268,79.3907,38.9696,81.3071
7900,2.31E-15,1.82E-15,1.96E-15,1.90E-15,1.72E-15,8.85E-16,0.724144,10.3035,18.1271,34.2827,48.711,59.2984,-3.59E-06,6.71E-08,6.63E-08,1.56E-07,2.80E-07,3.20E-07,2.42E-15,1.83E-15,1.92E-15,1.76E-15,1.54E-15,7.78E-16,5.29104,11.3826,13.3435,15.4197,16.4374,17.214,-3.61E-06,6.66E-08,6.63E-08,1.56E-07,2.80E-07,3.21E-07,337.861,346.303,356.133,383.317,428.629,519.583,337.923,346.335,356.066,383.059,428.41,519.55,1.75E-15,5.78228,6.43E-08,342.494,1.79E-15,9.54517,6.34E-08,342.557,1.80E-15,44.0799,2.34E-07,1.62E-15,16.1553,2.34E-07,55.1354,74.1968,51.8908,74.3477,47.1977,75.2539,43.9706,76.2117,54.192,74.7777,48.1255,76.8291,42.3268,79.3907,38.9696,81.3071
8000,2.31E-15,1.82E-15,1.96E-15,1.90E-15,1.72E-15,8.84E-16,0.724144,10.3036,18.1271,34.2827,48.711,59.3366,-3.59E-06,6.71E-08,6.63E-08,1.56E-07,2.80E-07,3.20E-07,2.42E-15,1.84E-15,1.92E-15,1.76E-15,1.54E-15,7.78E-16,5.29066,11.3847,13.3435,15.4197,16.4374,17.1883,-3.61E-06,6.66E-08,6.63E-08,1.56E-07,2.80E-07,3.20E-07,337.862,346.3,356.132,383.318,428.633,519.589,337.923,346.333,356.067,383.064,428.421,519.558,1.75E-15,5.78226,6.43E-08,342.494,1.79E-15,9.54412,6.35E-08,342.556,1.80E-15,44.0799,2.34E-07,1.62E-15,16.1553,2.34E-07,55.1354,74.1968,51.8908,74.3477,47.1977,75.2538,43.9706,76.2117,54.192,74.7777,48.1255,76.8291,42.3268,79.3907,38.9696,81.3071
8100,2.31E-15,1.82E-15,1.96E-15,1.90E-15,1.72E-15,8.84E-16,0.724144,10.3036,18.1271,34.2827,48.711,59.3728,-3.59E-06,6.71E-08,6.63E-08,1.56E-07,2.80E-07,3.20E-07,2.42E-15,1.84E-15,1.92E-15,1.76E-15,1.54E-15,7.77E-16,5.2903,11.3867,13.3435,15.4197,16.4374,17.1634,-3.61E-06,6.67E-08,6.63E-08,1.56E-07,2.80E-07,3.20E-07,337.863,346.298,356.132,383.318,428.638,519.595,337.923,346.33,356.067,383.07,428.432,519.566,1.75E-15,5.78225,6.44E-08,342.494,1.79E-15,9.54312,6.35E-08,342.555,1.80E-15,44.0799,2.34E-07,1.62E-15,16.1553,2.34E-07,55.1354,74.1968,51.8908,74.3477,47.1977,75.2538,43.9706,76.2117,54.192,74.7777,48.1255,76.8291,42.3268,79.3907,38.9696,81.3071
8200,2.31E-15,1.83E-15,1.96E-15,1.90E-15,1.72E-15,8.84E-16,0.724144,10.3036,18.1271,34.2827,48.711,59.4069,-3.59E-06,6.72E-08,6.63E-08,1.56E-07,2.80E-07,3.20E-07,2.42E-15,1.84E-15,1.92E-15,1.76E-15,1.54E-15,7.77E-16,5.28996,11.3886,13.3435,15.4197,16.4374,17.1393,-3.61E-06,6.67E-08,6.63E-08,1.56E-07,2.80E-07,3.20E-07,337.864,346.296,356.131,383.319,428.642,519.601,337.923,346.328,356.067,383.075,428.443,519.574,1.75E-15,5.78224,6.44E-08,342.493,1.79E-15,9.54215,6.35E-08,342.554,1.80E-15,44.0799,2.34E-07,1.62E-15,16.1553,2.34E-07,55.1354,74.1968,51.8908,74.3477,47.1977,75.2538,43.9705,76.2117,54.192,74.7777,48.1255,76.8291,42.3268,79.3907,38.9696,81.3071
8300,2.31E-15,1.83E-15,1.96E-15,1.90E-15,1.72E-15,8.83E-16,0.724144,10.3036,18.1271,34.2827,48.711,59.439,-3.59E-06,6.72E-08,6.63E-08,1.56E-07,2.80E-07,3.20E-07,2.42E-15,1.84E-15,1.92E-15,1.76E-15,1.54E-15,7.76E-16,5.28963,11.3905,13.3435,15.4197,16.4374,17.1161,-3.61E-06,6.67E-08,6.63E-08,1.56E-07,2.80E-07,3.20E-07,337.864,346.294,356.131,383.319,428.647,519.606,337.923,346.326,356.068,383.08,428.453,519.581,1.75E-15,5.78222,6.44E-08,342.493,1.79E-15,9.54123,6.35E-08,342.553,1.80E-15,44.0799,2.34E-07,1.62E-15,16.1553,2.34E-07,55.1354,74.1968,51.8908,74.3477,47.1977,75.2538,43.9705,76.2117,54.192,74.7777,48.1255,76.8291,42.3268,79.3907,38.9696,81.3071
8400,2.31E-15,1.83E-15,1.96E-15,1.90E-15,1.72E-15,8.83E-16,0.724144,10.3036,18.1271,34.2827,48.711,59.4694,-3.59E-06,6.72E-08,6.63E-08,1.56E-07,2.80E-07,3.20E-07,2.42E-15,1.84E-15,1.92E-15,1.76E-15,1.54E-15,7.76E-16,5.28931,11.3923,13.3435,15.4197,16.4374,17.0936,-3.61E-06,6.68E-08,6.63E-08,1.56E-07,2.80E-07,3.20E-07,337.865,346.292,356.13,383.32,428.651,519.611,337.923,346.324,356.068,383.084,428.463,519.588,1.75E-15,5.78221,6.44E-08,342.492,1.80E-15,9.54036,6.35E-08,342.552,1.80E-15,44.0799,2.34E-07,1.62E-15,16.1553,2.34E-07,55.1354,74.1968,51.8908,74.3477,47.1977,75.2538,43.9705,76.2117,54.192,74.7777,48.1255,76.8291,42.3268,79.3907,38.9696,81.3071
8500,2.31E-15,1.83E-15,1.96E-15,1.90E-15,1.72E-15,8.83E-16,0.724144,10.3037,18.1271,34.2827,48.711,59.498,-3.59E-06,6.73E-08,6.63E-08,1.56E-07,2.80E-07,3.20E-07,2.41E-15,1.84E-15,1.92E-15,1.76E-15,1.54E-15,7.76E-16,5.28901,11.3941,13.3435,15.4197,16.4374,17.0718,-3.61E-06,6.68E-08,6.63E-08,1.56E-07,2.80E-07,3.20E-07,337.866,346.291,356.13,383.32,428.655,519.616,337.923,346.321,356.068,383.089,428.472,519.595,1.75E-15,5.7822,6.44E-08,342.492,1.80E-15,9.53951,6.35E-08,342.551,1.80E-15,44.0799,2.34E-07,1.62E-15,16.1553,2.34E-07,55.1354,74.1968,51.8908,74.3477,47.1977,75.2538,43.9705,76.2117,54.192,74.7777,48.1255,76.8291,42.3268,79.3907,38.9696,81.3071
8600,2.31E-15,1.83E-15,1.96E-15,1.90E-15,1.72E-15,8.82E-16,0.724144,10.3037,18.1271,34.2827,48.711,59.5249,-3.59E-06,6.73E-08,6.63E-08,1.56E-07,2.80E-07,3.20E-07,2.41E-15,1.84E-15,1.92E-15,1.76E-15,1.54E-15,7.75E-16,5.28873,11.3958,13.3435,15.4197,16.4374,17.0508,-3.61E-06,6.68E-08,6.63E-08,1.56E-07,2.80E-07,3.20E-07,337.866,346.289,356.129,383.321,428.659,519.621,337.923,346.319,356.069,383.094,428.482,519.601,1.75E-15,5.78219,6.44E-08,342.492,1.80E-15,9.53871,6.35E-08,342.55,1.80E-15,44.0799,2.34E-07,1.62E-15,16.1553,2.34E-07,55.1354,74.1968,51.8908,74.3477,47.1977,75.2538,43.9705,76.2117,54.192,74.7777,48.1255,76.8291,42.3268,79.3907,38.9696,81.3071
8700,2.31E-15,1.83E-15,1.96E-15,1.90E-15,1.72E-15,8.82E-16,0.724143,10.3037,18.1271,34.2827,48.711,59.5503,-3.59E-06,6.73E-08,6.63E-08,1.56E-07,2.80E-07,3.20E-07,2.41E-15,1.84E-15,1.92E-15,1.76E-15,1.54E-15,7.75E-16,5.28846,11.3974,13.3435,15.4197,16.4374,17.0306,-3.61E-06,6.69E-08,6.63E-08,1.56E-07,2.80E-07,3.20E-07,337.867,346.287,356.129,383.321,428.663,519.625,337.923,346.317,356.069,383.099,428.491,519.607,1.75E-15,5.78217,6.44E-08,342.491,1.80E-15,9.53794,6.36E-08,342.55,1.80E-15,44.0799,2.34E-07,1.62E-15,16.1553,2.34E-07,55.1354,74.1968,51.8908,74.3477,47.1977,75.2538,43.9705,76.2117,54.192,74.7777,48.1255,76.8291,42.3268,79.3907,38.9696,81.3071
8800,2.31E-15,1.83E-15,1.96E-15,1.90E-15,1.72E-15,8.82E-16,0.724143,10.3037,18.1271,34.2827,48.711,59.5741,-3.59E-06,6.73E-08,6.63E-08,1.56E-07,2.80E-07,3.19E-07,2.41E-15,1.84E-15,1.92E-15,1.76E-15,1.54E-15,7.75E-16,5.2882,11.399,13.3435,15.4197,16.4374,17.011,-3.61E-06,6.69E-08,6.63E-08,1.56E-07,2.80E-07,3.20E-07,337.868,346.285,356.129,383.322,428.667,519.63,337.923,346.315,356.069,383.103,428.5,519.612,1.75E-15,5.78216,6.44E-08,342.491,1.80E-15,9.5372,6.36E-08,342.549,1.80E-15,44.0799,2.34E-07,1.62E-15,16.1553,2.34E-07,55.1354,74.1968,51.8908,74.3477,47.1977,75.2538,43.9705,76.2117,54.192,74.7777,48.1255,76.8291,42.3268,79.3907,38.9696,81.3071
8900,2.31E-15,1.83E-15,1.96E-15,1.90E-15,1.72E-15,8.82E-16,0.724143,10.3037,18.1271,34.2827,48.711,59.5966,-3.59E-06,6.74E-08,6.63E-08,1.56E-07,2.80E-07,3.19E-07,2.41E-15,1.84E-15,1.92E-15,1.76E-15,1.54E-15,7.74E-16,5.28795,11.4006,13.3435,15.4197,16.4374,16.9922,-3.61E-06,6.69E-08,6.63E-08,1.56E-07,2.80E-07,3.20E-07,337.868,346.283,356.128,383.322,428.671,519.634,337.923,346.313,356.07,383.108,428.509,519.618,1.75E-15,5.78215,6.44E-08,342.491,1.80E-15,9.5365,6.36E-08,342.548,1.80E-15,44.0799,2.34E-07,1.62E-15,16.1553,2.34E-07,55.1354,74.1968,51.8908,74.3477,47.1977,75.2538,43.9705,76.2117,54.192,74.7777,48.1255,76.8291,42.3268,79.3907,38.9696,81.3071
9000,2.31E-15,1.83E-15,1.96E-15,1.90E-15,1.72E-15,8.81E-16,0.724143,10.3037,18.1271,34.2827,48.711,59.6178,-3.59E-06,6.74E-08,6.63E-08,1.56E-07,2.80E-07,3.19E-07,2.41E-15,1.84E-15,1.92E-15,1.76E-15,1.54E-15,7.74E-16,5.2877,11.4021,13.3435,15.4197,16.4374,16.974,-3.61E-06,6.70E-08,6.63E-08,1.56E-07,2.80E-07,3.20E-07,337.869,346.281,356.128,383.323,428.674,519.638,337.923,346.311,356.07,383.112,428.517,519.623,1.75E-15,5.78214,6.44E-08,342.49,1.80E-15,9.53582,6.36E-08,342.547,1.80E-15,44.0799,2.34E-07,1.62E-15,16.1553,2.34E-07,55.1354,74.1968,51.8908,74.3477,47.1977,75.2538,43.9705,76.2118,54.192,74.7776,48.1255,76.8291,42.3268,79.3907,38.9696,81.3071
9100,2.31E-15,1.83E-15,1.96E-15,1.90E-15,1.72E-15,8.81E-16,0.724143,10.3038,18.1271,34.2827,48.711,59.6376,-3.59E-06,6.74E-08,6.63E-08,1.56E-07,2.80E-07,3.19E-07,2.41E-15,1.84E-15,1.92E-15,1.76E-15,1.54E-15,7.74E-16,5.28747,11.4035,13.3435,15.4197,16.4374,16.9565,-3.61E-06,6.70E-08,6.63E-08,1.56E-07,2.80E-07,3.19E-07,337.869,346.279,356.127,383.323,428.678,519.641,337.923,346.309,356.07,383.116,428.525,519.627,1.75E-15,5.78213,6.44E-08,342.49,1.80E-15,9.53517,6.36E-08,342.546,1.80E-15,44.0799,2.34E-07,1.62E-15,16.1553,2.34E-07,55.1354,74.1968,51.8908,74.3477,47.1977,75.2538,43.9705,76.2118,54.192,74.7776,48.1255,76.8291,42.3268,79.3907,38.9696,81.3071
9200,2.30E-15,1.83E-15,1.96E-15,1.90E-15,1.72E-15,8.81E-16,0.724143,10.3038,18.1271,34.2827,48.711,59.6563,-3.59E-06,6.74E-08,6.63E-08,1.56E-07,2.80E-07,3.19E-07,2.41E-15,1.84E-15,1.92E-15,1.76E-15,1.54E-15,7.73E-16,5.28725,11.405,13.3435,15.4197,16.4374,16.9396,-3.61E-06,6.70E-08,6.63E-08,1.56E-07,2.80E-07,3.19E-07,337.87,346.278,356.127,383.324,428.681,519.645,337.923,346.307,356.071,383.121,428.533,519.632,1.75E-15,5.78212,6.44E-08,342.489,1.80E-15,9.53455,6.36E-08,342.545,1.80E-15,44.0799,2.34E-07,1.62E-15,16.1553,2.34E-07,55.1354,74.1968,51.8908,74.3477,47.1977,75.2538,43.9705,76.2118,54.192,74.7776,48.1255,76.8291,42.3268,79.3907,38.9696,81.3071
9300,2.30E-15,1.83E-15,1.96E-15,1.90E-15,1.72E-15,8.81E-16,0.724143,10.3038,18.1271,34.2827,48.711,59.6738,-3.59E-06,6.75E-08,6.63E-08,1.56E-07,2.80E-07,3.19E-07,2.41E-15,1.84E-15,1.92E-15,1.76E-15,1.54E-15,7.73E-16,5.28704,11.4063,13.3435,15.4197,16.4374,16.9234,-3.61E-06,6.71E-08,6.63E-08,1.56E-07,2.80E-07,3.19E-07,337.87,346.276,356.126,383.324,428.684,519.648,337.923,346.305,356.071,383.125,428.541,519.636,1.75E-15,5.78211,6.44E-08,342.489,1.80E-15,9.53396,6.36E-08,342.544,1.80E-15,44.0799,2.34E-07,1.62E-15,16.1553,2.34E-07,55.1354,74.1968,51.8908,74.3477,47.1977,75.2538,43.9705,76.2118,54.192,74.7776,48.1255,76.8291,42.3268,79.3907,38.9696,81.3071
9400,2.30E-15,1.83E-15,1.96E-15,1.90E-15,1.72E-15,8.80E-16,0.724143,10.3038,18.1271,34.2827,48.711,59.6902,-3.59E-06,6.75E-08,6.63E-08,1.56E-07,2.80E-07,3.19E-07,2.41E-15,1.84E-15,1.92E-15,1.76E-15,1.54E-15,7.73E-16,5.28684,11.4076,13.3435,15.4197,16.4374,16.9077,-3.61E-06,6.71E-08,6.63E-08,1.56E-07,2.80E-07,3.19E-07,337.871,346.274,356.126,383.325,428.688,519.651,337.923,346.303,356.071,383.129,428.549,519.641,1.75E-15,5.7821,6.44E-08,342.489,1.80E-15,9.53339,6.36E-08,342.543,1.80E-15,44.0799,2.34E-07,1.62E-15,16.1553,2.34E-07,55.1354,74.1968,51.8908,74.3477,47.1977,75.2538,43.9705,76.2118,54.192,74.7776,48.1255,76.8291,42.3268,79.3907,38.9696,81.3071
9500,2.30E-15,1.83E-15,1.96E-15,1.90E-15,1.72E-15,8.80E-16,0.724143,10.3038,18.1271,34.2827,48.711,59.7056,-3.59E-06,6.75E-08,6.63E-08,1.56E-07,2.80E-07,3.19E-07,2.41E-15,1.84E-15,1.92E-15,1.76E-15,1.54E-15,7.73E-16,5.28665,11.4089,13.3435,15.4197,16.4374,16.8926,-3.61E-06,6.71E-08,6.63E-08,1.56E-07,2.80E-07,3.19E-07,337.872,346.272,356.126,383.325,428.691,519.654,337.923,346.301,356.071,383.133,428.556,519.644,1.75E-15,5.78209,6.44E-08,342.488,1.80E-15,9.53285,6.37E-08,342.542,1.80E-15,44.0799,2.34E-07,1.62E-15,16.1553,2.34E-07,55.1354,74.1968,51.8908,74.3477,47.1977,75.2538,43.9705,76.2118,54.192,74.7776,48.1255,76.8291,42.3268,79.3907,38.9696,81.3071
9600,2.30E-15,1.83E-15,1.96E-15,1.90E-15,1.72E-15,8.80E-16,0.724143,10.3038,18.1271,34.2827,48.711,59.72,-3.59E-06,6.75E-08,6.63E-08,1.56E-07,2.80E-07,3.19E-07,2.41E-15,1.85E-15,1.92E-15,1.76E-15,1.54E-15,7.72E-16,5.28646,11.4102,13.3435,15.4197,16.4374,16.8782,-3.61E-06,6.71E-08,6.63E-08,1.56E-07,2.80E-07,3.19E-07,337.872,346.271,356.125,383.325,428.694,519.657,337.923,346.299,356.072,383.137,428.564,519.648,1.75E-15,5.78208,6.44E-08,342.488,1.80E-15,9.53233,6.37E-08,342.541,1.80E-15,44.0799,2.34E-07,1.62E-15,16.1553,2.34E-07,55.1354,74.1968,51.8908,74.3477,47.1977,75.2538,43.9705,76.2118,54.192,74.7776,48.1255,76.8291,42.3268,79.3907,38.9696,81.3071
9700,2.30E-15,1.83E-15,1.96E-15,1.90E-15,1.72E-15,8.80E-16,0.724143,10.3039,18.1271,34.2827,48.711,59.7335,-3.59E-06,6.76E-08,6.63E-08,1.56E-07,2.80E-07,3.19E-07,2.41E-15,1.85E-15,1.92E-15,1.76E-15,1.54E-15,7.72E-16,5.28628,11.4114,13.3435,15.4197,16.4374,16.8642,-3.61E-06,6.72E-08,6.63E-08,1.56E-07,2.80E-07,3.19E-07,337.873,346.269,356.125,383.326,428.697,519.66,337.923,346.297,356.072,383.141,428.571,519.652,1.75E-15,5.78207,6.44E-08,342.488,1.80E-15,9.53183,6.37E-08,342.54,1.80E-15,44.0799,2.34E-07,1.62E-15,16.1553,2.34E-07,55.1354,74.1968,51.8908,74.3477,47.1977,75.2538,43.9705,76.2118,54.1921,74.7776,48.1255,76.8291,42.3268,79.3907,38.9696,81.3071
9800,2.30E-15,1.83E-15,1.96E-15,1.90E-15,1.72E-15,8.80E-16,0.724142,10.3039,18.1271,34.2827,48.711,59.7461,-3.59E-06,6.76E-08,6.63E-08,1.56E-07,2.80E-07,3.19E-07,2.41E-15,1.85E-15,1.92E-15,1.76E-15,1.54E-15,7.72E-16,5.2861,11.4126,13.3435,15.4197,16.4374,16.8508,-3.61E-06,6.72E-08,6.63E-08,1.56E-07,2.80E-07,3.19E-07,337.873,346.267,356.124,383.326,428.7,519.663,337.922,346.295,356.072,383.145,428.577,519.655,1.75E-15,5.78206,6.44E-08,342.487,1.80E-15,9.53136,6.37E-08,342.539,1.80E-15,44.0799,2.34E-07,1.62E-15,16.1553,2.34E-07,55.1354,74.1968,51.8908,74.3477,47.1977,75.2538,43.9705,76.2118,54.1921,74.7776,48.1255,76.8291,42.3268,79.3907,38.9696,81.3071
9900,2.30E-15,1.83E-15,1.96E-15,1.90E-15,1.72E-15,8.79E-16,0.724142,10.3039,18.1271,34.2827,48.711,59.7579,-3.59E-06,6.76E-08,6.63E-08,1.56E-07,2.80E-07,3.19E-07,2.41E-15,1.85E-15,1.92E-15,1.76E-15,1.54E-15,7.72E-16,5.28593,11.4137,13.3435,15.4197,16.4374,16.8379,-3.61E-06,6.72E-08,6.63E-08,1.56E-07,2.80E-07,3.19E-07,337.874,346.265,356.124,383.327,428.702,519.665,337.922,346.293,356.072,383.148,428.584,519.658,1.75E-15,5.78205,6.44E-08,342.487,1.80E-15,9.5309,6.37E-08,342.538,1.80E-15,44.0799,2.34E-07,1.62E-15,16.1553,2.34E-07,55.1354,74.1968,51.8908,74.3477,47.1977,75.2538,43.9705,76.2118,54.1921,74.7776,48.1255,76.8291,42.3268,79.3907,38.9696,81.3071
10000,2.30E-15,1.83E-15,1.96E-15,1.90E-15,1.72E-15,8.79E-16,0.724142,10.3039,18.1271,34.2827,48.711,59.7689,-3.59E-06,6.76E-08,6.63E-08,1.56E-07,2.80E-07,3.19E-07,2.41E-15,1.85E-15,1.92E-15,1.76E-15,1.54E-15,7.72E-16,5.28576,11.4148,13.3435,15.4197,16.4374,16.8255,-3.61E-06,6.72E-08,6.63E-08,1.56E-07,2.80E-07,3.19E-07,337.874,346.264,356.124,383.327,428.705,519.668,337.922,346.291,356.073,383.152,428.591,519.662,1.75E-15,5.78204,6.45E-08,342.487,1.80E-15,9.53046,6.37E-08,342.538,1.80E-15,44.0799,2.34E-07,1.62E-15,16.1553,2.34E-07,55.1354,74.1968,51.8908,74.3477,47.1977,75.2538,43.9705,76.2118,54.1921,74.7776,48.1255,76.8291,42.3268,79.3907,38.9696,81.3071
